case,model,pretrained_mean_model,query,expected_faq_id,tfidf_predicted_faq_id,tfidf_similarity,tfidf_accepted,tfidf_correct_answer,pretrained_mean_predicted_faq_id,pretrained_mean_similarity,pretrained_mean_accepted,pretrained_mean_correct_answer,sequence_predicted_faq_id,sequence_similarity,sequence_accepted,sequence_correct_answer
A,rnn,pw2v_mean,What should be understood about the guarantee being provided by Ather?,330,341,0.4679964731156991,False,False,23,0.7914686983598732,False,False,330,0.7234614639886343,True,True
B,rnn,pw2v_mean,Is it permitted to choose a preferred time slot for the shipment of Flipkart Quick purchases?,189,189,0.7790051215697082,True,True,189,0.9077193882849777,True,True,189,0.6491241636060058,False,False
B,rnn,pw2v_mean,I need a clear description of does 'Out of Stock' mean.,177,177,0.8694437213414319,True,True,177,0.8807059302387701,True,True,177,0.5871569538680325,False,False
B,rnn,pw2v_mean,Explain how this works: i missed the shipment of my purchase today. What should I do.,57,57,0.7203293489695743,True,True,57,0.9224949448440238,True,True,4,0.890634809826834,True,False
B,rnn,pw2v_mean,I am trying to make use of a new email location to log in to my Flipkart profile - what is the process?,75,75,0.6768199593084538,True,True,75,0.9153351147803189,True,True,305,0.7246780654731169,True,False
B,rnn,pw2v_mean,Explain how this works: does a Present Card expire.,453,453,0.7158482775875173,True,True,453,0.7834316680142084,False,False,453,0.6666435070651492,False,False
B,rnn,pw2v_mean,I am trying to locate the offers in SuperCoin Zone - what is the process?,432,432,0.6352178870784229,True,True,432,0.8624862106866743,True,True,307,0.6851680504346104,False,False
B,rnn,pw2v_mean,"Explain how this works: the location while ordering Ather 2-wheeler on Flipkart is distinct from the one on my location proof (Aadhaar Card), what should I do now.",265,265,0.711619201271912,True,True,265,0.9526624808932878,True,True,118,0.8447350935258392,True,False
B,rnn,pw2v_mean,Would it be possible to order more than one Ather 2-wheeler through the same Flipkart profile?,43,43,0.6454105447058213,True,True,43,0.888247526331196,True,True,285,0.6624562759013417,False,False
B,rnn,pw2v_mean,Am I allowed to reject the Flipkart Quick purchase at the time of shipment?,161,161,0.6617366998425191,True,True,161,0.903126289316728,True,True,291,0.6773203459070516,False,False
B,rnn,pw2v_mean,What steps should someone follow to purchase for large quantities of the item as part of a corporate purchase?,397,397,0.6301837122469988,True,True,397,0.8711449153033102,True,True,63,0.7276149266091263,True,False
B,rnn,pw2v_mean,Explain Flipkart Plus degree.,183,183,0.6386696147885594,True,True,183,0.6497972493377046,False,False,87,0.6773548409742669,False,False
B,rnn,pw2v_mean,Confirm whether someone would earn cashback if I have used someone else's Flipkart Axis Financial institution Credit Card.,344,344,0.8589936248694651,True,True,344,0.9387689201652825,True,True,400,0.8213749895320765,True,False
B,rnn,pw2v_mean,"Please clarify the following point: i always login with my phone identifier, but I recently lost my phone. I have also forgotten the passcode to my Flipkart profile. How do I access it.",246,246,0.92440214185453,True,True,246,0.9596718903892583,True,True,382,0.6492067671601187,False,False
B,rnn,pw2v_mean,What should be understood about Plus Zone?,225,225,0.6377216988355425,True,True,225,0.8261007973710519,True,True,169,0.6465291062230865,False,False
B,rnn,pw2v_mean,"I need guidance on this matter: the location while ordering Bounce vehicle on Flipkart is distinct from the one on my location proof (Aadhar Card), what should I do now.",259,259,0.7113341771224672,True,True,259,0.948156638042517,True,True,499,0.7776429694812342,True,False
B,rnn,pw2v_mean,Please clarify the following point: the choice to order an Ather 2-wheeler is not on offer at my pincode.,398,398,0.791479794727505,True,True,398,0.884350850543001,True,True,440,0.8677794546457696,True,False
B,rnn,pw2v_mean,I need guidance on this matter: i see that the guarantee terms for my item have changed on Flipkart from when I bought the item. Will this affect my guarantee.,154,154,0.7490357897250149,True,True,7,0.8906398904014096,True,False,461,0.6070388042402902,False,False
