case,model,pretrained_mean_model,query,expected_faq_id,tfidf_predicted_faq_id,tfidf_similarity,tfidf_accepted,tfidf_correct_answer,pretrained_mean_predicted_faq_id,pretrained_mean_similarity,pretrained_mean_accepted,pretrained_mean_correct_answer,sequence_predicted_faq_id,sequence_similarity,sequence_accepted,sequence_correct_answer
B,rnn,pw2v_mean,Explain how this works: how will I get alerts.,288,288,0.6571896258663,True,True,288,0.8522335651749893,False,False,288,0.6551349657830136,False,False
B,rnn,pw2v_mean,I need guidance on this matter: will credits earned in secondary school or at a distinct post-secondary institution be qualified for entry conditions of the Computer Science degree.,401,401,0.8044175276459338,True,True,401,0.9227331518061287,True,True,401,0.6827567210233995,False,False
B,rnn,pw2v_mean,Tell me the moment at which is the move-in date? Do I require to put in an application for an early move-in.,326,326,0.7476839943284666,True,True,326,0.9541954454765169,True,True,33,0.7216719232278188,False,False
B,rnn,pw2v_mean,I need guidance on this matter: can transfer students participate in the Jump Start degree.,322,322,0.7833273985610424,True,True,322,0.8466253834964178,False,False,406,0.62192798146422,False,False
B,rnn,pw2v_mean,Which areas of learning belong to Language and Literacies Education?,118,118,0.6093861541816653,True,True,118,0.8180561351164138,False,False,170,0.746955248151092,False,False
B,rnn,pw2v_mean,Describe the way Museum Studies is arranged.,91,91,0.5966197400600155,True,True,91,0.7545241574583434,False,False,462,0.5648154772593935,False,False
B,rnn,pw2v_mean,I want to establish whether there any financial support choices for me.,323,323,0.7302798136509048,True,True,323,0.8387225038625415,False,False,136,0.7410325196031035,False,False
B,rnn,pw2v_mean,What kind of workplace suits a Master of Education in Developmental Psychology & Education leaver?,77,77,0.7048780167215015,True,True,77,0.8558821624753191,False,False,136,0.7504764999864945,False,False
B,rnn,pw2v_mean,I need guidance on this matter: i would like to put in an application to a former student degree at the University of Toronto. Where should I get the submission form.,410,410,0.7525576669895997,True,True,410,0.9413197988411091,True,True,445,0.6424101166222588,False,False
B,rnn,pw2v_mean,"I am trying to submit my final, official academic record (or other required documents) - what is the process?",385,385,0.7405961642821639,True,True,385,0.8854665443730618,True,True,25,0.7154249691809353,False,False
B,rnn,pw2v_mean,Which classes can be taken within Master of Visual Studies in Studio Art?,1,1,0.6467507978829522,True,True,1,0.89558806512956,True,True,253,0.5256208646856539,False,False
B,rnn,pw2v_mean,Explain how this works: does this policy put in an application to all three campuses.,306,306,0.820804342764153,True,True,306,0.8764784072181349,True,True,415,0.6317389159441875,False,False
B,rnn,pw2v_mean,Describe the way School and Clinical Child Psychology is arranged.,19,19,0.6996604548895337,True,True,19,0.8614501050300332,True,True,405,0.5083307271553411,False,False
B,rnn,pw2v_mean,Which professions follow on from Global Affairs?,210,210,0.5616226712738818,True,True,210,0.6576030578474317,False,False,439,0.5451862096687665,False,False
B,rnn,pw2v_mean,Please clarify the following point: does this policy put in an application to the federated/theological colleges.,307,307,0.7647057773533541,True,True,307,0.8828865844013607,True,True,307,0.6809572717464785,False,False
B,rnn,pw2v_mean,I need guidance on this matter: if I require to provide proof of English language proficiency will I get an offer of entry.,263,263,0.86151478132742,True,True,263,0.9559353037335765,True,True,263,0.745370903289352,False,False
B,rnn,pw2v_mean,What shape does Urban Innovation take?,102,102,0.5480812047386103,True,True,140,0.7293700933823357,False,False,381,0.622907746459529,False,False
B,rnn,pw2v_mean,What steps should someone follow to enroll in my first-year classes?,464,464,0.6762228958513454,True,True,464,0.8625985717590962,True,True,464,0.6949371408142807,False,False
B,rnn,pw2v_mean,Please clarify the following point: i reviewed your Partner Organizations on the FIFSW website. Why is it that I do not see a particular practicum in this year's choices.,490,490,0.8687191468275883,True,True,490,0.9745641665811251,True,True,455,0.7138760551560939,False,False
B,rnn,pw2v_mean,Which scholarly work happens within Dentistry (with Specialty Training)?,183,183,0.6034222962824147,True,True,183,0.8236874949648317,False,False,339,0.5832275596318731,False,False
B,rnn,pw2v_mean,Which professions follow on from Physical Therapy?,85,85,0.6008685403229872,True,True,85,0.7034493077574393,False,False,435,0.5192037723161899,False,False
B,rnn,pw2v_mean,I need guidance on this matter: how long does it take CIC to procedure my submission.,453,453,0.7432154992198001,True,True,453,0.9085075940993599,True,True,453,0.698425062729759,False,False
B,rnn,pw2v_mean,Please clarify the following point: does dropping a class or taking a gap year affect my legal current state.,461,461,0.7223867749120529,True,True,461,0.9127392775568514,True,True,461,0.6849215933543623,False,False
B,rnn,pw2v_mean,What should be understood about an Exclusion?,391,391,0.6493108256155026,True,True,391,0.8295315216057234,False,False,397,0.75858945236066,False,False
B,rnn,pw2v_mean,Explain how this works: am I qualified to stay in Canada after completing my degree degree.,456,456,0.8106815080790213,True,True,456,0.905985746686705,True,True,456,0.7960153868553623,False,False
B,rnn,pw2v_mean,What material does Adult Education and Community Development teach?,20,20,0.8180680543470139,True,True,20,0.8346050895042307,False,False,39,0.5296308631514436,False,False
B,rnn,pw2v_mean,Would it be possible to get UTAlert notifications from all three campuses?,290,290,0.725367650674765,True,True,290,0.8888666463347257,True,True,54,0.694654486161239,False,False
B,rnn,pw2v_mean,Which page should someone visit to go to smoke?,308,308,0.5775297608441164,True,True,308,0.8356159705224082,False,False,308,0.7357710402751396,False,False
B,rnn,pw2v_mean,I need guidance on this matter: it says in my Engineering Applicant Portal that I will be receiving a funding award for first year -- do I have to do something to get this.,470,470,0.8397827413089497,True,True,470,0.972463838672784,True,True,305,0.668846769818148,False,False
B,rnn,pw2v_mean,I need guidance on this matter: how should I settle the amount the submission fee.,418,418,0.5576926899318295,True,True,418,0.8552511015207904,False,False,418,0.7278545937493879,False,False
B,rnn,pw2v_mean,Please clarify the following point: i received an offer to a degree or U of T university grounds that I didn't put in an application to. What does this mean.,353,353,0.7559605628356976,True,True,353,0.9463006590684332,True,True,470,0.7281311098144959,False,False
B,rnn,pw2v_mean,Which areas of learning belong to Dalla Lana School of Public Health?,80,80,0.7318223065766176,True,True,80,0.8170406863353361,False,False,114,0.7348558693614605,False,False
B,rnn,pw2v_mean,Which page should someone visit to get details on applying for a post-graduate work permit (PGWP)?,460,460,0.7615069605991126,True,True,460,0.9082632697588657,True,True,309,0.6073453818331298,False,False
B,rnn,pw2v_mean,"I need guidance on this matter: i'm an overseas student, where can I locate details on learn permits and work permits.",473,473,0.7707119294431926,True,True,473,0.9265970892084202,True,True,455,0.8345699504100673,True,False
B,rnn,pw2v_mean,What is the correct procedure to know if I'm already in the UTAlert system?,286,286,0.8850890569276132,True,True,286,0.8807305302523,True,True,286,0.7533563173267578,False,False
B,rnn,pw2v_mean,Describe the way Pro Bono Students Canada (PBSC) is arranged.,195,195,0.8053561887613168,True,True,195,0.8480502235349394,False,False,370,0.5801782093501009,False,False
B,rnn,pw2v_mean,Clarify what about residence members who smoke at night? Did you consider their safety having to go off university grounds.,311,311,0.9511078792287846,True,True,311,0.9705118526533969,True,True,311,0.7602061291694024,False,False
B,rnn,pw2v_mean,What teaching is provided inside Doctor of Education in Counselling Psychology (Counselling & Psychotherapy Field)?,34,34,0.7325219679024536,True,True,34,0.9537474903642182,True,True,34,0.5865678089652324,False,False
B,rnn,pw2v_mean,I need guidance on this matter: the reach details of my referee has changed. As I have already submitted the online submission how can I edit the referee's reach details.,434,434,0.7777045333237618,True,True,434,0.9141512321106442,True,True,431,0.6221420666370456,False,False
B,rnn,pw2v_mean,How is Biotechnology organised?,73,73,0.5251971246951342,True,True,148,0.5813318105045724,False,False,62,0.6395674741053008,False,False
B,rnn,pw2v_mean,"I need guidance on this matter: i was provided entry to one degree, but now I want to transfer to another. Can I.",269,269,0.829402411243161,True,True,269,0.9408980640027971,True,True,493,0.745821347436363,False,False
B,rnn,pw2v_mean,Which topics are covered inside Electrical and Computer Engineering?,43,43,0.5583983006330834,True,True,43,0.7931344047177039,False,False,61,0.532268779970556,False,False
B,rnn,pw2v_mean,"Give me the details of the difference between an entry category, a degree, and POSt? Can I put in an application directly to my degree or specialist/major/minor.",335,335,0.764497664702757,True,True,335,0.9224006957132056,True,True,335,0.6250616172150592,False,False
B,rnn,pw2v_mean,Where can study projects be found in Master of Education in Counselling Psychology; (Global Mental Health & Counselling Psychology Field) Dual Degree Programs?,24,24,0.8513380624170777,True,True,24,0.9580750927223989,True,True,456,0.6555073167692615,False,False
B,rnn,pw2v_mean,Please clarify the following point: am I qualified to work in Canada while learning.,452,452,0.5941832126456676,True,True,452,0.8417916220499213,False,False,311,0.7154222093694961,False,False
B,rnn,pw2v_mean,"Which scholarly work happens within Innovation, Law and Technology?",219,219,0.5148728400808886,True,True,219,0.8295415291027988,False,False,132,0.5218355481244551,False,False
B,rnn,pw2v_mean,What shape does SURE: Summer Undergraduate Scholarly work in Engineering take?,79,79,0.5669610004941424,True,True,79,0.8061853092319466,False,False,350,0.5463952589153295,False,False
B,rnn,pw2v_mean,Which professions follow on from Mineral Engineering Undergraduate Degree?,205,205,0.6427821102935657,True,True,205,0.8134296921642681,False,False,135,0.581802121041656,False,False
