id,question,answer,category,source,source_type
1,How can I use my mobile number to login on the Flipkart mobile app?,"To log into the Flipkart mobile app, update your mobile number from your Flipkart account on our website with these simples steps: 1. Go to My Account › Settings › Update Email/Mobile 2. Add your mobile number 3. Enter the OTP received on your registered mobile number 4. Select 'Save Changes'",accounts,https://www.flipkart.com/helpcentre?catalog=55cddc57b000002c002c170b&faq=55c2044aa900003c00b9992d&view=FAQ,official_web_via_public_dataset
2,What should I do if I don't get the invoice for my order?,Sellers send a hard copy of the invoice in the shipments. A soft copy is also emailed to you within 24 hours of delivery in the delivery confirmation email sent to your registered email ID. You can also visit My Account › My Orders page to get invoices for your orders.,orders,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf683aab00003800e35487&view=FAQ,official_web_via_public_dataset
3,How is 'Credit Card No Cost EMI' different from 'Credit Card EMI' payment mode?,"For 'Credit Card EMI', you are charged a non-refundable interest based on the tenure of your EMI plan whereas with 'Credit Card No Cost EMI', although interest is charged, you get an instant discount from the seller for the amount you pay as interest to the bank.",payments,https://www.flipkart.com/helpcentre?catalog=57aad44e1200002e00e98c06&faq=579afff7120000310061c439&view=FAQ,official_web_via_public_dataset
4,If I have found a security Bug/Vulnerability/Issue what should I do?,"We take security very seriously at Flipkart. If you have found an issue on Flipkart, you can report it to security@flipkart.com with the below details: 1. Steps to reproduce the bug/issue 2. Your web browser/mobile browser's name and version 3. Screenshot/screencast (if any).",privacy_security,https://www.flipkart.com/helpcentre?catalog=55cde08e6000003900cb5093&faq=55c0a9bcb0000044002c16f7&view=FAQ,official_web_via_public_dataset
5,What is the process after paying the ex-showroom price for Ampere Magnus EX on Flipkart?,"Once you've paid the ex-showroom price for the 2-wheeler on Flipkart, the authorised dealer will contact you within 48 hours to initiate the process of registration. After this, you will need to visit the brand authorised dealer to submit the required documents and within the next 7-10 days, the 2-wheeler will be handed over to you at the authorised dealer's location.",products,https://www.flipkart.com/helpcentre?catalog=6308ea59f86ae76c18b1420d&faq=6308eec664d0b60fba08c405&view=FAQ,official_web_via_public_dataset
6,What does it mean if a store displays a SuperCoin Pay QR code?,"SuperCoin Pay feature allows you to make payment for the product purchased at a third-party partner store and to redeem SuperCoins in the SuperCoin Zone of your Flipkart account. To use this feature, open the QR code scanner available in the SuperCoin Zone on the app and scan the QR code to be directed to the payment page.",promotions_rewards,https://www.flipkart.com/helpcentre?catalog=5f295ded4052815c7aef207e&faq=5f8e749f39ee360fc4421d0b&view=FAQ,official_web_via_public_dataset
7,I have requested for a return for my item. When will it happen?,You can now track the status of your return easily right from your Flipkart account or mobile app. Just visit the 'My Orders' page to see its status along with the date of pick-up and status of your refund if applicable. You will also receive an email & SMS with the details of your return.,returns_refunds,https://www.flipkart.com/helpcentre?catalog=55c9c6edb000002e002c1701&faq=55bf6682ab00002c00e35485&view=FAQ,official_web_via_public_dataset
8,What can I write in product reviews?,Customer reviews should be relevant to the product in question. The product review section on Flipkart is for you to share your opinion on the product & for other shoppers to have an informed buying decision.,reviews,https://www.flipkart.com/helpcentre?catalog=55cc919da900003900b99941&faq=565e9cac6f000024003bd9d6&view=FAQ,official_web_via_public_dataset
9,Can I use the Cash on Delivery payment option for every product I buy on Flipkart?,"The availability of Cash on Delivery option depends on factors like the delivery pincode, type of products etc. Please enter your pincode on the product page to check if CoD is available at your location. If this option is available for your pincode, you can shop for products up to ₹49,999 using this.",shipping_delivery,https://www.flipkart.com/helpcentre?catalog=55bf48f4d00000490011ffa5&faq=55e9422f5c0000220041b33c&view=FAQ,official_web_via_public_dataset
10,Should I call Flipkart's Customer Care for installation once my product is delivered?,"To make sure that you have a smooth and hassle-free experience, the installation is automatically arranged for your product by the seller within 2-5 business after the item is delivered. You will also get an SMS with the exact installation details after delivery.",warranties_installation,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf2c98d00000420011ff95&view=FAQ,official_web_via_public_dataset
