query,expected_faq_id,split,substitutions
what courses are provide master of visual studies in studio art at uoft? Any idea?,1,train,offered>provide
what courses are provide in master of visual studies in studio art at uoft? Thanks.,1,train,offered>provide
what courses are provide in master of visual studies in studio art at uoft?,1,dev,offered>provide
Could you tell me what courses are provide in master visual studies in curatorial studies at uoft?,2,train,offered>provide
what courses are provide in master of visual studies in curatorial studies at uoft? Any idea?,2,train,offered>provide
Could you tell me what courses provide in master of visual studies in curatorial studies at uoft?,2,dev,offered>provide
describe phd in architecture landscape and design curriculum at uoft? Thanks.,3,train,
describe the phd in architecture landscape design curriculum at uoft?,3,train,
Could you tell me describe the phd in architecture landscape and design curriculum uoft?,3,dev,
Quick question: can you explain the structure of adult education community development uoft?,4,train,
Help needed: can you explain the structure of adult education and community development at uoft?,4,train,
Help needed: can you explain the structure of adult education community development uoft?,4,dev,
"Hi, can explain the structure teaching uoft?",5,train,
Help needed: can you explain structure of teaching at uoft?,5,train,
Help needed: can you explain the structure teaching at uoft?,5,dev,
"Hi, can you explain structure of global professional law at uoft?",6,train,
Quick question: can you explain structure global professional law at uoft?,6,train,
"Hi, can you explain the structure of global professional law at uoft?",6,dev,
can you explain structure of germanic literature culture and theory at uoft?,7,train,
can explain the structure of germanic literature culture and theory at uoft? Any idea?,7,train,
Help needed: can you explain the structure of germanic literature culture and theory uoft?,7,dev,
Quick question: can you explain the structure of curriculum and pedagogy at uoft?,8,train,
Quick question: can you explain structure of curriculum pedagogy uoft?,8,train,
"Hi, can you explain the structure of curriculum and pedagogy at uoft?",8,dev,
"Hi, can you explain the structure of spanish at uoft?",9,train,
can you explain the structure of spanish uoft?,9,train,
can you explain structure of spanish at uoft?,9,dev,
Could you tell me where do master of education in counselling psychology global mental health counselling psychology field graduates from uoft typically work?,10,train,
Help needed: where do master of education in counselling psychology global mental health counselling psychology field graduates uoft typically work?,10,train,
Quick question: where master education in counselling psychology global mental health counselling psychology field graduates uoft typically work?,10,dev,
Help needed: what topic will i survey in global professional law uoft?,11,train,subjects>topic study>survey
what topic will i survey in global professional law at uoft? Any idea?,11,train,subjects>topic study>survey
Could you tell me what topic survey global professional law at uoft?,11,dev,subjects>topic study>survey
what are the vocation prognosis for doctor of education in counselling psychology counselling psychotherapy field graduates from uoft? Any idea?,12,train,career>vocation prospects>prognosis
Quick question: what are the vocation prognosis for doctor of education in counselling psychology counselling psychotherapy field graduates from uoft?,12,train,career>vocation prospects>prognosis
what are the vocation prognosis doctor education counselling psychology counselling psychotherapy field graduates uoft?,12,dev,career>vocation prospects>prognosis
"Hi, what makes counselling and clinical psychology field in clinical psychology utsc curriculum at uoft unusual?",13,train,program>curriculum unique>unusual
what makes the counselling and clinical psychology field in clinical psychology utsc curriculum at uoft unusual? Any idea?,13,train,program>curriculum unique>unusual
what makes the counselling and clinical psychology field clinical psychology utsc curriculum at uoft unequaled? Any idea?,13,dev,program>curriculum unique>unequaled
can you explain the structure of educational leadership and policy at uoft? Thanks.,14,train,
can explain the structure of educational leadership policy at uoft? Thanks.,14,train,
can you explain the structure of educational leadership and policy uoft? Any idea?,14,dev,
Could you tell me what research chance exist in master education counselling psychology global mental health counselling psychology field at uoft?,15,train,opportunities>chance
Could you tell me what research chance exist master of education counselling psychology global mental health counselling psychology field uoft?,15,train,opportunities>chance
what research chance exist in master of education in counselling psychology global mental health counselling psychology field at uoft?,15,dev,opportunities>chance
Help needed: can explain the structure germanic languages and literatures at uoft?,16,train,
can explain structure germanic languages literatures at uoft? Any idea?,16,train,
Could you tell me can you explain the structure of germanic languages and literatures at uoft?,16,dev,
can explain the structure of health informatics at uoft? Any idea?,17,train,
Help needed: can explain the structure of health informatics at uoft?,17,train,
can explain structure health informatics at uoft?,17,dev,
