case,model,custom_model,query,expected_faq_id,tfidf_predicted_faq_id,tfidf_similarity,tfidf_accepted,tfidf_correct_answer,custom_predicted_faq_id,custom_similarity,custom_accepted,custom_correct_answer,pretrained_predicted_faq_id,pretrained_similarity,pretrained_accepted,pretrained_correct_answer
A,pw2v_mean,w2v_mean,In which place is it possible to verify the expiry related particulars of my Flipkart Plus membership?,11,11,0.520920608390343,False,False,123,0.8995146635706489,False,False,11,0.9128106451759567,True,True
A,pw2v_mean,w2v_mean,Am I allowed to redeem all of my on offer SuperCoins while with the SuperCoin Settle the amount function?,111,111,0.5712520696053119,False,False,166,0.9255753134418374,True,False,111,0.8651519310058509,True,True
A,pw2v_mean,w2v_mean,I need guidance on this matter: how long does it take to call off an purchase.,112,112,0.5196962858288294,False,False,112,0.9189087059686561,False,False,112,0.8659598227220453,True,True
A,pw2v_mean,w2v_mean,Am I allowed to redeem SuperCoins to avail price reduction for Flipkart Present Card?,384,384,0.5663845018307019,False,False,187,0.9331056261565818,True,False,384,0.8862271361844329,True,True
A,pw2v_mean,w2v_mean,Give me the details of the amount I can shop for with Money on Shipment transaction choice.,210,210,0.5051373608436186,False,False,210,0.9021415492591881,False,False,210,0.8725426853951741,True,True
A,pw2v_mean,w2v_mean,Am I allowed to make use of an overseas identifier to sign up?,197,197,0.5298333696348014,False,False,197,0.9198615431732725,False,False,197,0.864163373079479,True,True
A,pw2v_mean,w2v_mean,Give me the details of the distinct transaction choices on offer for Flipkart Quick.,415,268,0.3699617309321586,False,False,161,0.889029991908959,False,False,415,0.8133365448034969,True,True
A,pw2v_mean,w2v_mean,Am I expected to have to send back the freebie when I send back a item?,230,230,0.5668802944625139,False,False,230,0.9166950808188895,False,False,230,0.8810031413579577,True,True
A,pw2v_mean,w2v_mean,Would it be possible to make use of the Money on Shipment transaction choice for every item I order on Flipkart?,9,9,0.3941193911479589,False,False,451,0.9149585678693324,False,False,9,0.8646768076068756,True,True
B,pw2v_mean,w2v_mean,Explain how this works: does a Present Card expire.,453,453,0.7158482775875173,True,True,412,0.901894584240075,False,False,453,0.7834316680142084,False,False
B,pw2v_mean,w2v_mean,Is it permitted to order another Present Card with the Present Card I have?,378,378,0.6486472192606678,True,True,327,0.9209789836503254,True,False,451,0.8506206408515673,True,False
B,pw2v_mean,w2v_mean,Explain Flipkart Plus degree.,183,183,0.6386696147885594,True,True,183,0.7679396407064608,False,False,183,0.6497972493377046,False,False
B,pw2v_mean,w2v_mean,Please clarify the following point: i want to verify my guarantee particulars for the item but I don't have the guarantee card. What should I do.,146,146,0.6547876976657432,True,True,146,0.9591087009838845,True,True,2,0.9088774221554686,True,False
