query,is_answerable,expected_faq_id,tfidf_predicted_faq_id,tfidf_similarity,tfidf_accepted,tfidf_top1_correct,tfidf_correct_answer,w2v_mean_predicted_faq_id,w2v_mean_similarity,w2v_mean_accepted,w2v_mean_top1_correct,w2v_mean_correct_answer,w2v_tfidf_predicted_faq_id,w2v_tfidf_similarity,w2v_tfidf_accepted,w2v_tfidf_top1_correct,w2v_tfidf_correct_answer,pw2v_mean_predicted_faq_id,pw2v_mean_similarity,pw2v_mean_accepted,pw2v_mean_top1_correct,pw2v_mean_correct_answer,pw2v_tfidf_predicted_faq_id,pw2v_tfidf_similarity,pw2v_tfidf_accepted,pw2v_tfidf_top1_correct,pw2v_tfidf_correct_answer,rnn_predicted_faq_id,rnn_similarity,rnn_accepted,rnn_top1_correct,rnn_correct_answer,bilstm_predicted_faq_id,bilstm_similarity,bilstm_accepted,bilstm_top1_correct,bilstm_correct_answer
"Explain how this works: if I request for a exchange, when will I get it.",True,32,32,0.6887980872506112,True,True,True,32,0.9801376975829924,True,True,True,32,0.975682988027967,True,True,True,32,0.9194802602965417,True,True,True,32,0.8503444619855538,True,True,True,32,0.7363568549705842,True,True,True,274,0.5166034099244992,False,False,False
"I need a clear description of Once I'm inside Convocation Hall, will I be able to leave and enter again.",False,,252,0.3964091798122888,False,False,False,59,0.9376943102558492,True,False,False,59,0.9258212625694746,True,False,False,252,0.8546859793188424,True,False,False,252,0.8380253752931425,True,False,False,136,0.7641327836628123,True,False,False,235,0.6237042873672867,False,False,False
How can I grow tomatoes on a balcony?,False,,326,0.4640178174506637,False,False,False,475,0.8806709346408346,False,False,False,475,0.8377402822309393,False,False,False,102,0.7097088900232592,False,False,False,102,0.7700499032255146,True,False,False,148,0.5929558457640128,False,False,False,424,0.7003074149988339,True,False,False
Please explain does 'Preorder' or 'Forthcoming' mean.,True,191,191,0.9840227550379125,True,True,True,191,0.94769529599687,True,True,True,191,0.9880264959676079,True,True,True,191,0.9069626753186605,True,True,True,191,0.9956013497039268,True,True,True,191,0.7604378415981644,True,True,True,191,0.8511678814623597,True,True,True
I need a clear description of should I do if I don't get the OTP or verification code.,True,107,107,0.9115374291886715,True,True,True,107,0.9736382308340008,True,True,True,107,0.979118276137236,True,True,True,107,0.9643310289090496,True,True,True,107,0.9798676242750926,True,True,True,107,0.8155043553225523,True,True,True,372,0.6422287772388204,False,False,False
Tell me if faster shipment choices like Same Day & In-a-Day on offer on send back requests.,True,128,128,0.8050873903587218,True,True,True,128,0.9077697367934702,False,True,False,128,0.9301566563194884,True,True,True,128,0.8590693760673063,True,True,True,128,0.8814524307485148,True,True,True,128,0.8271333307907874,True,True,True,128,0.5918754671082953,False,True,False
I need guidance on this matter: will guarantee be applicable for my item since I bought it online.,True,50,50,0.772525615846601,True,True,True,50,0.9371196279218862,True,True,True,50,0.9391869880239044,True,True,True,50,0.8723028547803781,True,True,True,50,0.8775330159263928,True,True,True,50,0.8771533104292398,True,True,True,207,0.5884911927822736,False,False,False
How do I train a puppy to sit?,False,,171,0.461403500293832,False,False,False,188,0.8180364431685813,False,False,False,188,0.7566437752771528,False,False,False,102,0.7934819359342347,False,False,False,102,0.7738596713628512,True,False,False,156,0.6374841995155209,False,False,False,13,0.6603376820915707,False,False,False
Is it permitted to choose a preferred time slot for the shipment of Flipkart Quick purchases?,True,189,189,0.7790051215697082,True,True,True,189,0.9258586978364587,True,True,True,189,0.9508932524308182,True,True,True,189,0.9077193882849777,True,True,True,189,0.9215755431423678,True,True,True,189,0.6491241636060058,False,True,False,91,0.561028510396815,False,False,False
I need guidance on this matter: may I defer entry to the University of Toronto.,False,,495,0.39380718643772183,False,False,False,254,0.9014691377947711,False,False,False,254,0.8623798241716889,False,False,False,495,0.8308680724041141,True,False,False,495,0.8215908758538597,True,False,False,116,0.5297466282507667,False,False,False,307,0.509848770091553,False,False,False
Which page should someone visit to locate the code for the benefits claimed as part of the Money and Coins for Benefits?,True,420,420,0.46610646561768876,False,True,False,420,0.9277793566064948,True,True,True,420,0.9128107345315931,True,True,True,420,0.8856903828202052,True,True,True,420,0.8205188891567066,True,True,True,420,0.6793961896204037,False,True,False,296,0.39155130340061284,False,False,False
"Describe for me merge my Flipkart accounts, will my SuperCoins also merge.",True,310,310,0.9333321474397156,True,True,True,310,0.9593013354393817,True,True,True,310,0.9755918880951963,True,True,True,310,0.9565395772585286,True,True,True,310,0.9829989155217722,True,True,True,310,0.9909964766421835,True,True,True,310,0.948418548325831,True,True,True
I need a clear description of does 'Out of Stock' mean.,True,177,177,0.8694437213414319,True,True,True,177,0.883846073345404,False,True,False,177,0.931380985718516,True,True,True,177,0.8807059302387701,True,True,True,177,0.9474809729431222,True,True,True,177,0.5871569538680325,False,True,False,87,0.6665280882712258,False,False,False
Explain how this works: i missed the shipment of my purchase today. What should I do.,True,57,57,0.7203293489695743,True,True,True,57,0.9507884312287803,True,True,True,57,0.9378522607025165,True,True,True,57,0.9224949448440238,True,True,True,57,0.8861251058057686,True,True,True,4,0.890634809826834,True,False,False,287,0.6672447524640264,False,False,False
Explain the cause: do I see a 'shipment charge'.,True,182,182,0.6767102077443857,True,True,True,188,0.945745110601624,True,False,False,188,0.9288681740829312,True,False,False,182,0.8475073472491954,True,True,True,182,0.7959467071390027,True,True,True,182,0.8048086263812002,True,True,True,182,0.7822393281091493,True,True,True
Am I allowed to ensure that I am placed in a hospital setting?,False,,95,0.42537056977111243,False,False,False,59,0.8918654271512263,False,False,False,252,0.8817486451350541,False,False,False,345,0.806305163468343,False,False,False,95,0.785328291179013,True,False,False,369,0.5786845454960062,False,False,False,307,0.6670394606141052,False,False,False
