query,is_answerable,expected_faq_id,tfidf_predicted_faq_id,tfidf_similarity,tfidf_accepted,tfidf_top1_correct,tfidf_correct_answer,w2v_mean_predicted_faq_id,w2v_mean_similarity,w2v_mean_accepted,w2v_mean_top1_correct,w2v_mean_correct_answer,w2v_tfidf_predicted_faq_id,w2v_tfidf_similarity,w2v_tfidf_accepted,w2v_tfidf_top1_correct,w2v_tfidf_correct_answer
"Explain how this works: if I request for a exchange, when will I get it.",True,32,32,0.6887980872506112,True,True,True,32,0.9801376975829924,True,True,True,32,0.975682988027967,True,True,True
"I need a clear description of Once I'm inside Convocation Hall, will I be able to leave and enter again.",False,,252,0.3964091798122888,False,False,False,59,0.9376943102558492,True,False,False,59,0.9258212625694746,True,False,False
How can I grow tomatoes on a balcony?,False,,326,0.4640178174506637,False,False,False,475,0.8806709346408346,False,False,False,475,0.8377402822309393,False,False,False
Please explain does 'Preorder' or 'Forthcoming' mean.,True,191,191,0.9840227550379125,True,True,True,191,0.94769529599687,True,True,True,191,0.9880264959676079,True,True,True
I need a clear description of should I do if I don't get the OTP or verification code.,True,107,107,0.9115374291886715,True,True,True,107,0.9736382308340008,True,True,True,107,0.979118276137236,True,True,True
Tell me if faster shipment choices like Same Day & In-a-Day on offer on send back requests.,True,128,128,0.8050873903587218,True,True,True,128,0.9077697367934702,False,True,False,128,0.9301566563194884,True,True,True
I need guidance on this matter: will guarantee be applicable for my item since I bought it online.,True,50,50,0.772525615846601,True,True,True,50,0.9371196279218862,True,True,True,50,0.9391869880239044,True,True,True
How do I train a puppy to sit?,False,,171,0.461403500293832,False,False,False,188,0.8180364431685813,False,False,False,188,0.7566437752771528,False,False,False
Is it permitted to choose a preferred time slot for the shipment of Flipkart Quick purchases?,True,189,189,0.7790051215697082,True,True,True,189,0.9258586978364587,True,True,True,189,0.9508932524308182,True,True,True
I need guidance on this matter: may I defer entry to the University of Toronto.,False,,495,0.39380718643772183,False,False,False,254,0.9014691377947711,False,False,False,254,0.8623798241716889,False,False,False
Which page should someone visit to locate the code for the benefits claimed as part of the Money and Coins for Benefits?,True,420,420,0.46610646561768876,False,True,False,420,0.9277793566064948,True,True,True,420,0.9128107345315931,True,True,True
