query,is_answerable,expected_faq_id,tfidf_predicted_faq_id,tfidf_similarity,tfidf_accepted,tfidf_top1_correct,tfidf_correct_answer,w2v_mean_predicted_faq_id,w2v_mean_similarity,w2v_mean_accepted,w2v_mean_top1_correct,w2v_mean_correct_answer,w2v_tfidf_predicted_faq_id,w2v_tfidf_similarity,w2v_tfidf_accepted,w2v_tfidf_top1_correct,w2v_tfidf_correct_answer
Explain how this works: how will I get alerts.,True,288,288,0.6571896258663,True,True,True,288,0.9214830240428642,False,True,False,288,0.9105046221837345,False,True,False
"What investigations are carried out in Germanic Literature, Culture and Theory?",True,47,97,0.7770981683169131,True,False,False,197,0.956399923498427,True,False,False,161,0.9573651663016788,True,False,False
I need guidance on this matter: will credits earned in secondary school or at a distinct post-secondary institution be qualified for entry conditions of the Computer Science degree.,True,401,401,0.8044175276459338,True,True,True,401,0.9796323138623756,True,True,True,401,0.9814748187367465,True,True,True
What investigations are carried out in Master of Applied Science (MASc)?,True,221,101,0.7088919077284314,True,False,False,25,0.9533534496359286,True,False,False,25,0.9654000985802851,True,False,False
Tell me the moment at which is the move-in date? Do I require to put in an application for an early move-in.,True,326,326,0.7476839943284666,True,True,True,326,0.9632986429818909,True,True,True,326,0.9608844899208722,True,True,True
How can I grow tomatoes on a balcony?,False,,415,0.35649412272876746,False,False,False,272,0.8917019317914955,False,False,False,478,0.853104800071497,False,False,False
Tell me what should I do if my purchase is approved but hasn't been shipped yet.,False,,425,0.3981344333070003,False,False,False,258,0.9455140217718581,True,False,False,258,0.9523141375622498,True,False,False
I need guidance on this matter: can transfer students participate in the Jump Start degree.,True,322,322,0.7833273985610424,True,True,True,322,0.9446380813265028,True,True,True,322,0.9522023755039759,True,True,True
Which areas of learning belong to Language and Literacies Education?,True,118,118,0.6093861541816653,True,True,True,137,0.8776404290520734,False,False,False,118,0.9038613759115761,False,True,False
Am I expected to require a visa in addition to my learn permit to travel to Canada?,True,450,450,0.8008364245670634,True,True,True,450,0.9801789559174067,True,True,True,450,0.9846771902586952,True,True,True
Which study areas does Finance pursue?,True,238,71,0.36021662444408514,False,False,False,67,0.85334011532941,False,False,False,67,0.8866612692709119,False,False,False
Which areas of learning belong to Ecology and Evolutionary Biology?,True,64,48,0.6660564553167097,True,False,False,127,0.8792458473920349,False,False,False,127,0.9302215593687876,False,False,False
What shape does Counselling & Clinical Psychology take?,True,83,39,0.5722115851377906,True,False,False,129,0.8892057411282133,False,False,False,129,0.9138250557014764,False,False,False
What is the capital of every country in Europe?,False,,481,0.39983279152325496,False,False,False,431,0.8896543332681339,False,False,False,289,0.8876561033692026,False,False,False
Describe the way Museum Studies is arranged.,True,91,91,0.5966197400600155,True,True,True,289,0.8535386640410914,False,False,False,91,0.8935794651708453,False,True,False
I want to establish whether there any financial support choices for me.,True,323,323,0.7302798136509048,True,True,True,316,0.8878059692582014,False,False,False,323,0.9222225457298031,False,True,False
I am trying to claim guarantee services for refurbished items - what is the process?,False,,431,0.5253655167034017,True,False,False,326,0.9180471085686812,False,False,False,326,0.9249089445186907,False,False,False
Explain how this works: i am qualified for both the Summer and the Fall-Winter degree streams. Which one should I choose.,True,363,363,0.8869900884478062,True,True,True,363,0.9652792615771815,True,True,True,363,0.9729551877359232,True,True,True
Which scholarly work happens within Ecology and Evolutionary Biology?,True,127,48,0.5685990825805813,True,False,False,64,0.9025267226741913,False,False,False,64,0.9403142706909051,False,False,False
What kind of workplace suits a Master of Education in Developmental Psychology & Education leaver?,True,77,77,0.7048780167215015,True,True,True,15,0.9535973999104036,True,False,False,15,0.9652740220127889,True,False,False
Please explain should I do if I miss a call or alert.,True,300,300,0.8710126180364366,True,True,True,300,0.9556845316827665,True,True,True,300,0.9680400489514749,True,True,True
"Describe for me am an Indigenous graduating student, so can I wear traditional Indigenous regalia.",True,279,279,0.9280516795567099,True,True,True,279,0.9704946327668338,True,True,True,279,0.9805651727536614,True,True,True
Describe for me stream am I part of if I live at University Village or Wesbrook Village.,True,329,329,0.8989378757545199,True,True,True,329,0.9795593308566087,True,True,True,329,0.9814401343378182,True,True,True
Confirm whether there a charge for pickup of items from a 'Pickup Store'.,False,,273,0.40717348119461944,False,False,False,481,0.8341544773621283,False,False,False,490,0.8721114338178603,False,False,False
Would it be possible to appeal a transfer credit decision?,True,383,383,0.744611862044151,True,True,True,244,0.9182676575230301,False,False,False,383,0.9341066086691862,False,True,False
What investigations are carried out in Electrical and Computer Engineering?,True,67,43,0.6784291397530283,True,False,False,224,0.901552686762394,False,False,False,43,0.921483928306453,False,False,False
How do I train a puppy to sit?,False,,241,0.4697570752606238,True,False,False,478,0.9194814206930895,False,False,False,478,0.8782164064348894,False,False,False
Please clarify the following point: how does U of T Mississauga assess classes for equivalency.,True,382,382,0.7840005520188373,True,True,True,382,0.974265446395938,True,True,True,382,0.980484491108708,True,True,True
Is it permitted to register for Jump Start before I get my Winter Session housing offer?,True,319,319,0.9315876985449644,True,True,True,319,0.9496680091249852,True,True,True,319,0.9786159643339698,True,True,True
I need guidance on this matter: i would like to put in an application to a former student degree at the University of Toronto. Where should I get the submission form.,True,410,410,0.7525576669895997,True,True,True,410,0.9666746408728095,True,True,True,410,0.9623771070089766,True,True,True
"I am trying to submit my final, official academic record (or other required documents) - what is the process?",True,385,385,0.7405961642821639,True,True,True,253,0.950271897172012,True,False,False,385,0.9699222154666657,True,True,True
Which classes can be taken within Master of Visual Studies in Studio Art?,True,1,1,0.6467507978829522,True,True,True,2,0.9301355274468458,True,False,False,1,0.9448135632545518,False,True,False
Explain how this works: does this policy put in an application to all three campuses.,True,306,306,0.820804342764153,True,True,True,306,0.9100989575336534,False,True,False,306,0.9446030110699316,False,True,False
Describe the way School and Clinical Child Psychology is arranged.,True,19,19,0.6996604548895337,True,True,True,39,0.9475369071395645,True,False,False,39,0.9611023089409787,True,False,False
Please clarify the following point: i want to know the CVV identifier on the card.,False,,379,0.3065129026007572,False,False,False,410,0.9208627872976576,False,False,False,410,0.9432463557223356,False,False,False
Which employers take on people who finish Master of Education in Counselling Psychology (Global Mental Health & Counselling Psychology Field)?,True,10,15,0.7099947937153785,True,False,False,10,0.967326191404661,True,True,True,10,0.9651868262832953,True,True,True
