text_a,text_b,label,faq_id,candidate_faq_id,split,pair_type
what courses are provide master of visual studies in studio art at uoft? Any idea?,what courses are offered in Master of Visual Studies in Studio Art at UOFT?,1,1,1,train,positive
what courses are provide master of visual studies in studio art at uoft? Any idea?,"I am an Indigenous student, what do I need to know about registering for Jump Start?",0,1,320,train,random
what courses are provide master of visual studies in studio art at uoft? Any idea?,where do Master of Visual Studies in Studio Art graduates from UOFT typically work?,0,1,57,train,hard
what courses are provide in master of visual studies in studio art at uoft? Thanks.,what courses are offered in Master of Visual Studies in Studio Art at UOFT?,1,1,1,train,positive
what courses are provide in master of visual studies in studio art at uoft? Thanks.,what kind of research is done in English at UOFT?,0,1,110,train,random
what courses are provide in master of visual studies in studio art at uoft? Thanks.,where do Master of Visual Studies in Studio Art graduates from UOFT typically work?,0,1,57,train,hard
what courses are provide in master of visual studies in studio art at uoft?,what courses are offered in Master of Visual Studies in Studio Art at UOFT?,1,1,1,dev,positive
what courses are provide in master of visual studies in studio art at uoft?,Do I have health or dental insurance coverage through U of T?,0,1,476,dev,random
what courses are provide in master of visual studies in studio art at uoft?,where do Master of Visual Studies in Studio Art graduates from UOFT typically work?,0,1,57,dev,hard
Could you tell me what courses are provide in master visual studies in curatorial studies at uoft?,what courses are offered in Master of Visual Studies in Curatorial Studies at UOFT?,1,2,2,train,positive
Could you tell me what courses are provide in master visual studies in curatorial studies at uoft?,"what can I do with a degree in Innovation, Law and Technology from UOFT?",0,2,130,train,random
Could you tell me what courses are provide in master visual studies in curatorial studies at uoft?,what courses are offered in Master of Visual Studies in Studio Art at UOFT?,0,2,1,train,hard
what courses are provide in master of visual studies in curatorial studies at uoft? Any idea?,what courses are offered in Master of Visual Studies in Curatorial Studies at UOFT?,1,2,2,train,positive
what courses are provide in master of visual studies in curatorial studies at uoft? Any idea?,can you explain the structure of Biotechnology at UOFT?,0,2,73,train,random
what courses are provide in master of visual studies in curatorial studies at uoft? Any idea?,what courses are offered in Master of Visual Studies in Studio Art at UOFT?,0,2,1,train,hard
Could you tell me what courses provide in master of visual studies in curatorial studies at uoft?,what courses are offered in Master of Visual Studies in Curatorial Studies at UOFT?,1,2,2,dev,positive
Could you tell me what courses provide in master of visual studies in curatorial studies at uoft?,Which stream am I part of if I live at University Village or Wesbrook Village?,0,2,329,dev,random
Could you tell me what courses provide in master of visual studies in curatorial studies at uoft?,what courses are offered in Master of Visual Studies in Studio Art at UOFT?,0,2,1,dev,hard
describe phd in architecture landscape and design curriculum at uoft? Thanks.,"describe the PhD in Architecture, Landscape, and Design curriculum at UOFT.",1,3,3,train,positive
describe phd in architecture landscape and design curriculum at uoft? Thanks.,what can I do with a degree in Museum Studies from UOFT?,0,3,202,train,random
describe phd in architecture landscape and design curriculum at uoft? Thanks.,"what are the admission requirements for PhD in Architecture, Landscape, and Design at UOFT?",0,3,196,train,hard
describe the phd in architecture landscape design curriculum at uoft?,"describe the PhD in Architecture, Landscape, and Design curriculum at UOFT.",1,3,3,train,positive
describe the phd in architecture landscape design curriculum at uoft?,"Are staff, faculty and students able to smoke or vape tobacco or cannabis off university property and then go to work/class?",0,3,310,train,random
describe the phd in architecture landscape design curriculum at uoft?,"what are the admission requirements for PhD in Architecture, Landscape, and Design at UOFT?",0,3,196,train,hard
Could you tell me describe the phd in architecture landscape and design curriculum uoft?,"describe the PhD in Architecture, Landscape, and Design curriculum at UOFT.",1,3,3,dev,positive
Could you tell me describe the phd in architecture landscape and design curriculum uoft?,"Will I be considered for all of the programs I applied to at the same time, or only in the order I ranked them?",0,3,337,dev,random
Could you tell me describe the phd in architecture landscape and design curriculum uoft?,"what are the admission requirements for PhD in Architecture, Landscape, and Design at UOFT?",0,3,196,dev,hard
Quick question: can you explain the structure of adult education community development uoft?,can you explain the structure of Adult Education and Community Development at UOFT?,1,4,4,train,positive
Quick question: can you explain the structure of adult education community development uoft?,"can you explain the structure of Health Policy, Management and Evaluation at UOFT?",0,4,154,train,random
Quick question: can you explain the structure of adult education community development uoft?,what subjects will I study in Adult Education and Community Development at UOFT?,0,4,20,train,hard
Help needed: can you explain the structure of adult education and community development at uoft?,can you explain the structure of Adult Education and Community Development at UOFT?,1,4,4,train,positive
Help needed: can you explain the structure of adult education and community development at uoft?,When are references due?,0,4,433,train,random
Help needed: can you explain the structure of adult education and community development at uoft?,what subjects will I study in Adult Education and Community Development at UOFT?,0,4,20,train,hard
Help needed: can you explain the structure of adult education community development uoft?,can you explain the structure of Adult Education and Community Development at UOFT?,1,4,4,dev,positive
Help needed: can you explain the structure of adult education community development uoft?,I recently became a Canadian Permanent Resident. How can I update my legal status on my application?,0,4,415,dev,random
Help needed: can you explain the structure of adult education community development uoft?,what subjects will I study in Adult Education and Community Development at UOFT?,0,4,20,dev,hard
"Hi, can explain the structure teaching uoft?",can you explain the structure of Teaching at UOFT?,1,5,5,train,positive
"Hi, can explain the structure teaching uoft?",Can I work on- and/or off-campus?,0,5,457,train,random
"Hi, can explain the structure teaching uoft?",describe the Teaching curriculum at UOFT.,0,5,31,train,hard
Help needed: can you explain structure of teaching at uoft?,can you explain the structure of Teaching at UOFT?,1,5,5,train,positive
Help needed: can you explain structure of teaching at uoft?,what can I do with a degree in Health Administration from UOFT?,0,5,90,train,random
Help needed: can you explain structure of teaching at uoft?,can you explain the structure of English at UOFT?,0,5,65,train,hard
Help needed: can you explain the structure teaching at uoft?,can you explain the structure of Teaching at UOFT?,1,5,5,dev,positive
Help needed: can you explain the structure teaching at uoft?,How will a repeated course affect my admission?,0,5,336,dev,random
Help needed: can you explain the structure teaching at uoft?,can you explain the structure of English at UOFT?,0,5,65,dev,hard
"Hi, can you explain structure of global professional law at uoft?",can you explain the structure of Global Professional Law at UOFT?,1,6,6,train,positive
"Hi, can you explain structure of global professional law at uoft?",where do Master of Business Administration (Extended Full-Time MBA) graduates from UOFT typically work?,0,6,113,train,random
"Hi, can you explain structure of global professional law at uoft?",what subjects will I study in Global Professional Law at UOFT?,0,6,11,train,hard
Quick question: can you explain structure global professional law at uoft?,can you explain the structure of Global Professional Law at UOFT?,1,6,6,train,positive
Quick question: can you explain structure global professional law at uoft?,I applied last year / I'm a current or former OISE student - do I have to re-submit documents?,0,6,251,train,random
Quick question: can you explain structure global professional law at uoft?,what subjects will I study in Global Professional Law at UOFT?,0,6,11,train,hard
"Hi, can you explain the structure of global professional law at uoft?",can you explain the structure of Global Professional Law at UOFT?,1,6,6,dev,positive
"Hi, can you explain the structure of global professional law at uoft?","I have submitted my application but want to make a change, how do I do that?",0,6,343,dev,random
"Hi, can you explain the structure of global professional law at uoft?",can you explain the structure of Global Affairs at UOFT?,0,6,96,dev,hard
can you explain structure of germanic literature culture and theory at uoft?,"can you explain the structure of Germanic Literature, Culture and Theory at UOFT?",1,7,7,train,positive
can you explain structure of germanic literature culture and theory at uoft?,Where can I find help with housing?,0,7,471,train,random
can you explain structure of germanic literature culture and theory at uoft?,"what subjects will I study in Germanic Literature, Culture and Theory at UOFT?",0,7,97,train,hard
can explain the structure of germanic literature culture and theory at uoft? Any idea?,"can you explain the structure of Germanic Literature, Culture and Theory at UOFT?",1,7,7,train,positive
can explain the structure of germanic literature culture and theory at uoft? Any idea?,How do U of T Mississauga's degree requirements impact my transfer credits?,0,7,398,train,random
can explain the structure of germanic literature culture and theory at uoft? Any idea?,"what subjects will I study in Germanic Literature, Culture and Theory at UOFT?",0,7,97,train,hard
Help needed: can you explain the structure of germanic literature culture and theory uoft?,"can you explain the structure of Germanic Literature, Culture and Theory at UOFT?",1,7,7,dev,positive
Help needed: can you explain the structure of germanic literature culture and theory uoft?,What is an appropriate bachelor's degree?,0,7,403,dev,random
Help needed: can you explain the structure of germanic literature culture and theory uoft?,"what subjects will I study in Germanic Literature, Culture and Theory at UOFT?",0,7,97,dev,hard
Quick question: can you explain the structure of curriculum and pedagogy at uoft?,can you explain the structure of Curriculum and Pedagogy at UOFT?,1,8,8,train,positive
Quick question: can you explain the structure of curriculum and pedagogy at uoft?,what kind of research is done in Art History at UOFT?,0,8,150,train,random
Quick question: can you explain the structure of curriculum and pedagogy at uoft?,what subjects will I study in Curriculum and Pedagogy at UOFT?,0,8,22,train,hard
Quick question: can you explain structure of curriculum pedagogy uoft?,can you explain the structure of Curriculum and Pedagogy at UOFT?,1,8,8,train,positive
Quick question: can you explain structure of curriculum pedagogy uoft?,"I'm an international student, and this will be my first time studying in Canada. How can I prepare for arrival?",0,8,472,train,random
Quick question: can you explain structure of curriculum pedagogy uoft?,what subjects will I study in Curriculum and Pedagogy at UOFT?,0,8,22,train,hard
"Hi, can you explain the structure of curriculum and pedagogy at uoft?",can you explain the structure of Curriculum and Pedagogy at UOFT?,1,8,8,dev,positive
"Hi, can you explain the structure of curriculum and pedagogy at uoft?",Am I required to have a police check done for my practicum?,0,8,484,dev,random
"Hi, can you explain the structure of curriculum and pedagogy at uoft?",what subjects will I study in Curriculum and Pedagogy at UOFT?,0,8,22,dev,hard
"Hi, can you explain the structure of spanish at uoft?",can you explain the structure of Spanish at UOFT?,1,9,9,train,positive
"Hi, can you explain the structure of spanish at uoft?",what are the admission requirements for Canadian Law in a Global Context at UOFT?,0,9,191,train,random
"Hi, can you explain the structure of spanish at uoft?",can you explain the structure of English at UOFT?,0,9,65,train,hard
