query,is_answerable,expected_faq_id,tfidf_predicted_faq_id,tfidf_similarity,tfidf_accepted,tfidf_top1_correct,tfidf_correct_answer,w2v_mean_predicted_faq_id,w2v_mean_similarity,w2v_mean_accepted,w2v_mean_top1_correct,w2v_mean_correct_answer,w2v_tfidf_predicted_faq_id,w2v_tfidf_similarity,w2v_tfidf_accepted,w2v_tfidf_top1_correct,w2v_tfidf_correct_answer,pw2v_mean_predicted_faq_id,pw2v_mean_similarity,pw2v_mean_accepted,pw2v_mean_top1_correct,pw2v_mean_correct_answer,pw2v_tfidf_predicted_faq_id,pw2v_tfidf_similarity,pw2v_tfidf_accepted,pw2v_tfidf_top1_correct,pw2v_tfidf_correct_answer,rnn_predicted_faq_id,rnn_similarity,rnn_accepted,rnn_top1_correct,rnn_correct_answer,bilstm_predicted_faq_id,bilstm_similarity,bilstm_accepted,bilstm_top1_correct,bilstm_correct_answer
Explain how this works: how will I get alerts.,True,288,288,0.6571896258663,True,True,True,288,0.9214830240428642,False,True,False,288,0.9105046221837345,False,True,False,288,0.8522335651749893,False,True,False,288,0.8623652191337454,True,True,True,288,0.6551349657830136,False,True,False,231,0.5864342047260878,False,False,False
"What investigations are carried out in Germanic Literature, Culture and Theory?",True,47,97,0.7770981683169131,True,False,False,197,0.956399923498427,True,False,False,161,0.9573651663016788,True,False,False,47,0.8720248053151682,True,True,True,47,0.9410939546580462,True,True,True,121,0.7554226911783319,False,False,False,161,0.5965683816060934,False,False,False
I need guidance on this matter: will credits earned in secondary school or at a distinct post-secondary institution be qualified for entry conditions of the Computer Science degree.,True,401,401,0.8044175276459338,True,True,True,401,0.9796323138623756,True,True,True,401,0.9814748187367465,True,True,True,401,0.9227331518061287,True,True,True,401,0.935639215286673,True,True,True,401,0.6827567210233995,False,True,False,401,0.5551744289014495,False,True,False
What investigations are carried out in Master of Applied Science (MASc)?,True,221,101,0.7088919077284314,True,False,False,25,0.9533534496359286,True,False,False,25,0.9654000985802851,True,False,False,221,0.8572350777143762,False,True,False,221,0.9020267056803197,True,True,True,183,0.7304446503532877,False,False,False,12,0.5542513418813488,False,False,False
Tell me the moment at which is the move-in date? Do I require to put in an application for an early move-in.,True,326,326,0.7476839943284666,True,True,True,326,0.9632986429818909,True,True,True,326,0.9608844899208722,True,True,True,326,0.9541954454765169,True,True,True,326,0.9363466082563023,True,True,True,33,0.7216719232278188,False,False,False,326,0.7398822315511571,False,True,False
How can I grow tomatoes on a balcony?,False,,415,0.35649412272876746,False,False,False,272,0.8917019317914955,False,False,False,478,0.853104800071497,False,False,False,327,0.6885635006771846,False,False,False,343,0.716121213023181,False,False,False,457,0.5606735067559938,False,False,False,285,0.6490081111128723,False,False,False
Tell me what should I do if my purchase is approved but hasn't been shipped yet.,False,,425,0.3981344333070003,False,False,False,258,0.9455140217718581,True,False,False,258,0.9523141375622498,True,False,False,425,0.8904696454438139,True,False,False,425,0.8229919070253815,True,False,False,425,0.5872507227816474,False,False,False,292,0.667570762521711,False,False,False
I need guidance on this matter: can transfer students participate in the Jump Start degree.,True,322,322,0.7833273985610424,True,True,True,322,0.9446380813265028,True,True,True,322,0.9522023755039759,True,True,True,322,0.8466253834964178,False,True,False,322,0.9150718591927107,True,True,True,406,0.62192798146422,False,False,False,92,0.4588505533780517,False,False,False
Which areas of learning belong to Language and Literacies Education?,True,118,118,0.6093861541816653,True,True,True,137,0.8776404290520734,False,False,False,118,0.9038613759115761,False,True,False,118,0.8180561351164138,False,True,False,118,0.8848435365636229,True,True,True,170,0.746955248151092,False,False,False,280,0.6759025245673442,False,False,False
Am I expected to require a visa in addition to my learn permit to travel to Canada?,True,450,450,0.8008364245670634,True,True,True,450,0.9801789559174067,True,True,True,450,0.9846771902586952,True,True,True,450,0.9516520656104186,True,True,True,450,0.9403766917387724,True,True,True,450,0.8615492300302812,True,True,True,450,0.8747418799902016,True,True,True
Which study areas does Finance pursue?,True,238,71,0.36021662444408514,False,False,False,67,0.85334011532941,False,False,False,67,0.8866612692709119,False,False,False,133,0.6478414519850283,False,False,False,238,0.6992390456611839,False,True,False,364,0.7155098710124533,False,False,False,167,0.5538320741286261,False,False,False
Which areas of learning belong to Ecology and Evolutionary Biology?,True,64,48,0.6660564553167097,True,False,False,127,0.8792458473920349,False,False,False,127,0.9302215593687876,False,False,False,48,0.8688692195652448,True,False,False,48,0.9265027639421954,True,False,False,274,0.6108185604447847,False,False,False,127,0.5287785912541546,False,False,False
What shape does Counselling & Clinical Psychology take?,True,83,39,0.5722115851377906,True,False,False,129,0.8892057411282133,False,False,False,129,0.9138250557014764,False,False,False,39,0.8411209176651911,False,False,False,39,0.8741115643066076,True,False,False,66,0.7216101056476746,False,False,False,304,0.47594009779733376,False,False,False
What is the capital of every country in Europe?,False,,481,0.39983279152325496,False,False,False,431,0.8896543332681339,False,False,False,289,0.8876561033692026,False,False,False,337,0.7169450335868123,False,False,False,481,0.7021972228122919,False,False,False,285,0.6402300157122496,False,False,False,292,0.6978813347304021,False,False,False
Describe the way Museum Studies is arranged.,True,91,91,0.5966197400600155,True,True,True,289,0.8535386640410914,False,False,False,91,0.8935794651708453,False,True,False,91,0.7545241574583434,False,True,False,91,0.8279906332762867,True,True,True,462,0.5648154772593935,False,False,False,474,0.5842249822490877,False,False,False
I want to establish whether there any financial support choices for me.,True,323,323,0.7302798136509048,True,True,True,316,0.8878059692582014,False,False,False,323,0.9222225457298031,False,True,False,323,0.8387225038625415,False,True,False,323,0.8952509685747221,True,True,True,136,0.7410325196031035,False,False,False,424,0.6089517943302071,False,False,False
I am trying to claim guarantee services for refurbished items - what is the process?,False,,431,0.5253655167034017,True,False,False,326,0.9180471085686812,False,False,False,326,0.9249089445186907,False,False,False,470,0.8034205887972747,False,False,False,453,0.6509060926033965,False,False,False,426,0.6135226341503802,False,False,False,302,0.5999286806717538,False,False,False
Explain how this works: i am qualified for both the Summer and the Fall-Winter degree streams. Which one should I choose.,True,363,363,0.8869900884478062,True,True,True,363,0.9652792615771815,True,True,True,363,0.9729551877359232,True,True,True,363,0.9395790448201368,True,True,True,363,0.9456654898323638,True,True,True,363,0.9049965246132251,True,True,True,363,0.727472808803571,False,True,False
Which scholarly work happens within Ecology and Evolutionary Biology?,True,127,48,0.5685990825805813,True,False,False,64,0.9025267226741913,False,False,False,64,0.9403142706909051,False,False,False,64,0.8683894742297624,True,False,False,127,0.9141837118264875,True,True,True,287,0.627646264176499,False,False,False,127,0.5362298607816434,False,True,False
What kind of workplace suits a Master of Education in Developmental Psychology & Education leaver?,True,77,77,0.7048780167215015,True,True,True,15,0.9535973999104036,True,False,False,15,0.9652740220127889,True,False,False,77,0.8558821624753191,False,True,False,77,0.8995187113280616,True,True,True,136,0.7504764999864945,False,False,False,169,0.6584469745783765,False,False,False
Please explain should I do if I miss a call or alert.,True,300,300,0.8710126180364366,True,True,True,300,0.9556845316827665,True,True,True,300,0.9680400489514749,True,True,True,300,0.9594237683366689,True,True,True,300,0.9415884625516145,True,True,True,300,0.8630618464183012,True,True,True,300,0.8405893430210662,True,True,True
"Describe for me am an Indigenous graduating student, so can I wear traditional Indigenous regalia.",True,279,279,0.9280516795567099,True,True,True,279,0.9704946327668338,True,True,True,279,0.9805651727536614,True,True,True,279,0.9756825713992447,True,True,True,279,0.9769502105551158,True,True,True,279,0.9968969665326548,True,True,True,279,0.9380492344030478,True,True,True
Describe for me stream am I part of if I live at University Village or Wesbrook Village.,True,329,329,0.8989378757545199,True,True,True,329,0.9795593308566087,True,True,True,329,0.9814401343378182,True,True,True,329,0.9725360902762528,True,True,True,329,0.9630106774105078,True,True,True,329,0.9966009981535251,True,True,True,329,0.9127574183656684,True,True,True
Confirm whether there a charge for pickup of items from a 'Pickup Store'.,False,,273,0.40717348119461944,False,False,False,481,0.8341544773621283,False,False,False,490,0.8721114338178603,False,False,False,477,0.6384297398746123,False,False,False,273,0.7387616708999427,False,False,False,77,0.5672587177191354,False,False,False,491,0.5617646088520197,False,False,False
Would it be possible to appeal a transfer credit decision?,True,383,383,0.744611862044151,True,True,True,244,0.9182676575230301,False,False,False,383,0.9341066086691862,False,True,False,383,0.9088465503217702,True,True,True,383,0.9321456386457794,True,True,True,383,0.8083795375536672,True,True,True,383,0.8626150168148414,True,True,True
What investigations are carried out in Electrical and Computer Engineering?,True,67,43,0.6784291397530283,True,False,False,224,0.901552686762394,False,False,False,43,0.921483928306453,False,False,False,67,0.8308948345932274,False,True,False,67,0.8907287553254801,True,True,True,114,0.7321261126344056,False,False,False,67,0.6276522268085759,False,True,False
How do I train a puppy to sit?,False,,241,0.4697570752606238,True,False,False,478,0.9194814206930895,False,False,False,478,0.8782164064348894,False,False,False,419,0.7909810799813396,False,False,False,343,0.7554716693891397,False,False,False,447,0.6456091169714983,False,False,False,241,0.6983043390308613,False,False,False
Please clarify the following point: how does U of T Mississauga assess classes for equivalency.,True,382,382,0.7840005520188373,True,True,True,382,0.974265446395938,True,True,True,382,0.980484491108708,True,True,True,382,0.8782605481666094,True,True,True,382,0.8676193368737988,True,True,True,382,0.9078807478876635,True,True,True,382,0.7737746978101967,True,True,True
Is it permitted to register for Jump Start before I get my Winter Session housing offer?,True,319,319,0.9315876985449644,True,True,True,319,0.9496680091249852,True,True,True,319,0.9786159643339698,True,True,True,319,0.9679058200231301,True,True,True,319,0.9895829792594977,True,True,True,319,0.9132791510919197,True,True,True,319,0.9461923631344504,True,True,True
I need guidance on this matter: i would like to put in an application to a former student degree at the University of Toronto. Where should I get the submission form.,True,410,410,0.7525576669895997,True,True,True,410,0.9666746408728095,True,True,True,410,0.9623771070089766,True,True,True,410,0.9413197988411091,True,True,True,410,0.9442329866646639,True,True,True,445,0.6424101166222588,False,False,False,255,0.6631192314522926,False,False,False
